,tweets,likes,location
40,@Naija_PR Sapa got me 😭😭,0,"Abuja, Nigeria"
41,"Sapa, nice one o.",1,"Abuja, Nigeria"
42,"@RealChiefPriest Biko help ur bby girl 🙏🙏🙏 😩dis sapa too much and school don resume 😥😥
Nothing is too small sir",0,
43,@kyetuM Sign of Sapa 😂,1,"Jos, Nigeria"
44,@Dizetweet Sapa bien merci,1,"Abuja, Nigeria"
45,"Another with another silence from @keystonebankng over a failed transaction of 4,600 since December 2022 and 3,300 since February 10th 2023. And sapa dey ooo😭😭😭",0,"Abuja, Nigeria"
46,Sapa rice🥰🤩,113,"Abuja, Nigeria"
47,"Wetin b ""Sapa"" for English abek?

My Oyinbo friend dey ask me Wetin b d cause of my problems! I wan tellam say na Sapa! 😩 😩 😩 https://t.co/brBfNYlZ8X",42,"Jos, Nigeria"
48,@te_mi_to_pe1 We will see to that after ur POP but now nah sapa u d see not shege,0,"Jos, Nigeria"
49,@lost_in_sapa @yabaleftonline Your handle and your tweet don't relate,0,Abuja
50,"@VictorIsrael_ @realFFK He saw the light and sapa push am back to darkness 🤦🏾‍♂️.
@realFFK Who is bankrolling you?",2,"Abuja, Nigeria"
51,"@VictorIsrael_ @realFFK Sapa na your mate?
See @realFFK cheek here na and compare am with Wetin e be now.
I remember @OlusegunObasnjo saying give @realFFK food and he will be loyal and sing your praises.
This is the real political 🐕.",10,"Abuja, Nigeria"
52,"@NursetoluX To settle sapa ooo
9036348307 Opay",0,"Abuja, Nigeria"
53,SAPA,0,"Abuja, Nigeria"
54,@WinterMarlis Sapa make dey english carry weight,1,"Abuja, Nigeria"
55,@onlytrueisaac Sapa oo.,0,JOS NIGERIA
56,@BolanleCole Sapa na ur mate,0,"Minna,Nigeria"
57,@benjiblaq1 @Saitama_chief @jujupunter Guy na Sapa just dey chop me no reason  am person never see better thing chop after a while day fasting,0,Abuja
58,"Sapa has been making me emotional these days.
Hard guy don broke.",0,Abuja
59,@lost_in_sapa @vanguardngrnews @DEMAN004 Lmao 😂,0,"Abuja, Nigeria"
60,"@lost_in_sapa @drpenking Bro, only money is enough",0,"Abuja, Nigeria"
61,@instablog9ja Sapa at her door step😂😂😂😂 just watch,0,"Abuja, Nigeria"
62,"How i went from rarely using Twitter and LinkedIn to how I can't go a day without going on those two platforms 😂. Sapa dey pursue me, I dey pursue the bag. God abeg 🤲. #mytechjourney",1,
63,@king_chuka_ Sapa bien merci and you?,1,"Abuja, Nigeria"
64,@Ekitipikin Sapa nice one fasting don soft be that o na to do 30days 30night I no fit kill my self https://t.co/NyYlcnJlX2,0,Abuja
65,@freeb4ndo that’s salad cream on a sapa level?😭,0,"Abuja, Nigeria"
66,@Ekitipikin Sapa na ur mate,0,"Abuja, Nigeria"
67,@lost_in_sapa @KadunaResident Stop liking ppl without character because they banter a govt you don’t like. More often than not they do it for the clout it earns them.,0,"Abuja, Nigeria"
68,@Halal_Match SAPA happened sir😭,1,"Abuja, Nigeria"
69,@JoulesBella Feh nor! Sapa dey for am 😂😂😂😂😂😩😩😩,0,"Abuja, Nigeria"
70,@lost_in_sapa @KadunaResident Honestly,0,"Abuja, Nigeria"
71,@AkhereOfficial1 😩😩 sapa don dey get stands,0,"Plateau, Nigeria"
72,@sportingshina Sapa want kill me sir please anything for me,0,"Abuja, Nigeria"
73,Sapa wan kill Rich till I die 😩😩 https://t.co/TM8pKTIcid,2,"Plateau, Nigeria"
74,"2. A woman that can't save from the little money you give her because of SAPA days. 

3. A woman that doesn't know how to make money or tell you how to invest the little change or bring business idea. Please run 🏃‍♂️🏃‍♂️🏃‍♂️.

4. A woman that talks too much.",0,"Abuja, Nigeria"
75,Oh Lord  bless me and comot me for #SAPA 🙏☝️ https://t.co/6GgwWLNAsg,0,"Federal Capital Territory, Nig"
76,"@viktorzion @SaharaReporters Bag of Garri, sapa na your mate? 😂😂",1,London/Abuja
77,"When you Cash out you go run come post God is the greatest 
When you no cash out you go post sapa….your papa there 🖐🏿 
You should be grateful to God in both bad &amp; good terms 👌",0,"Abuja, Nigeria"
78,"If you want to Be a murderer there’s Just more than enough reason to become One, Even the political Mishap in Nigeria is enough motivation.
If you want to be a thief; you are going to be justified as well, Adulthood is Hard and SAPA and many more untold hardship, STAND FOR GOD https://t.co/6U1CchroBw",0,ABUJA
79,@Nobsdaslushhkid @lost_in_sapa 😂,0,Abuja
80,"Opay has to explain to me where all these money are, I mean I’m always in sapa mode. But then how https://t.co/b7alTd0Vkn",0,"Abuja, Nigeria"
81,@Beaulenne Sapa nice one,0,"Abuja, Nigeria"
82,"Not to be superstitious or anything 
But what if sapa is dealing with us in mass because of our promiscuity 
I’m dead-real feeling that way",0,Abuja
83,"@MiviDa_Soft @Ekitipikin @LouieDi13 @jeffre__ @mivida_sports @MizBee30 @EditProMaxx Broo!!
Sapa no allow me play am
😭💔

And e go boom 
I don go price car oh
Bills on you ✊🙏",2,"Abuja, Nigeria"
84,@gh_st_001 We Dey do keke but you dey do flight  just to go md eat 😭 Sapa you do this one,1,Abuja
85,THEY NO DEY TELL PERSON WHEN SAPA DON GIVE YOU DIRTY SLAP YOU GO JAZZ UP  https://t.co/vJr2zPpLoi,16,"Abuja, Nigeria "
86,"@frankdonga_ @_amustapha @desola__xn I wasn’t surprised when I saw your photo
Na you Dey represent sapa",1,Abuja
87,"@Stilliberty And your name na liberty
Make sapa free you naa😭",0,"Benue, Nigeria"
88,@Chi73Its @SaharaReporters Them give you 25k you no collect 🤔 sapa is that you 😞😒,0,"Abuja, Nigeria"
89,@lifeofa_g01 Make sapa no think say I dey enjoy,0,"abuja,"
90,@abati1990 Sapa if that you?,0,"Abuja, Nigeria"
91,"@yabaleftonline Even old notes sef, I never see. Sapa 😒",0,"Abuja, Nigeria"
92,@landlady100 The Sapa is getting wesser 😭,0,"Jos, Nigeria"
93,"@Asiyanbolatayo I swear guy. I don’t know why it’s perfect for you but for me it’s because of sapa 😂. And if I want to go back for one specific info, it’s easy to scrub through the text and find it.",1,"Abuja, Nigeria"
94,"I was motivated by the zeal of always wanting a better life and I see AIP as an opportunity to make money give a better future to myself and family, I would really love to give another shout out to @Joyagbim because without the AIP I would have been drowning in sapa.",3,"Abuja, Nigeria"
95,@yabaleftonline Sapa no free me,0,Abuja 
96,@iz_shamo Lmao 🤣 don komot for sapa Sha na shege banza I Dey,0,"Minna, Nigeria"
97,@AbuoGabriel @Naija_PR Sapa edition,0,"Abuja, Nigeria."
98,@ConvertOdds I would love to be their too buh Omo sapa+ life of a student 😢.,0,Abuja 
99,"@miraboi Sapa dey this country, see how beautiful faces are posting thier account details.",0,abuja
100,abeg send me 10k make i chop boss sapa wan kill me,22,"Abuja, Nigeria"
101,Fear of sapa,0,"Abuja, Nigeria"
102,@AbujaLagosBoy Sapa is that you? Who sent you? https://t.co/M1BJYit6bH,0,"Abuja, Nigeria"
103,@2muchdrags Sapa you do this one😂😂,0,"Jos, Nigeria"
104,"Una no shout whether for two anymore ara yin o move mo emi yin tife bor sapa ti regulate hormones gbogboyin 

Efe ku 😂",0,"Abuja, Nigeria"
105,@miraboi When I saw send ur account number I thought there were referring to me o wahala sapa no go finish o 🤣🤣,3,"Abuja, Nigeria"
106,@yabaleftonline Nice one Sapa I see what you are doing 😔,0,Abuja
107,@jujupunter Boss na like this sapa hold me o https://t.co/01SWYdM4RR,0,"Abuja, Nigeria"
108,@jujupunter bros abeg sapa pack come my house.. I no fit open door for am.  e just dey my door dey knock.. pls help,0,"Abuja, Nigeria"
109,@aig_xcel Sapa is enough motivation for me,0,"Abuja, Nigeria"
110,@Philip_Michael Sapa no sabi rich in your mind🤣,0,"Abuja, Nigeria"
111,"@DanielRegha Omo Sapa no good o. Na only @davido dey Nigeria? How many promises have your politicians fulfilled? Even Buhari never kept his words so, why are you on davido's case? If you feel pained, go and work hard then help him redeem his promises 🙄",0,Abuja
112,@realsiyamatambu Sapa why naw,0,"Abuja, Nigeria"
113,@desola__xn Sapa na Bastard,0,Jos plateau Nigeria
114,To me drinking garri with salt is sapa of the highest order!,4,"Abuja, Nigeria"
115,@nonytenderheart @vicky_taurus7 I no blame you. Na see finish and Sapa dey make you yab me😂😂,1,Abuja
116,"@omo_olobikan @omonna14 See house abeg😳
If I hear you talk of sapa again Kiki🙄😏",0,"Benue, Nigeria"
117,@ChinweMaryrose @ToyFlash @channelstv Land wey dem dey sell bcos of sapa and party🤣😂,1,Federal Capital Territory
118,@chameleon_fr Sapa why na,0,"Abuja, Nigeria"
119,@callme_jeremy01 u no go kill me... Sapa wear ehite for lagos,0,"Abuja, Nigeria"
120,"Hunger catch me today I sleep, sapa nice one😭",0,"Abuja, Nigeria"
121,@jujupunter Sapa nice one,0,Federal Capital Territory
122,@lauurell2 Sapa nah ur mate?? 😏,0,
123,@Naija_PR This one no concern sapa,1,"Abuja, Nigeria"
124,"@ConvertOdds Keep posting sapa memes
Elevate my family, grow my business and help the street",0,"Jos, Nigeria"
125,@Qwiniki 😂😂💔💔 Sapa nice one,1,"Jos, Nigeria"
126,Sapa na your mate 🤣,0,"Abuja, Nigeria"
127,"Divided by tribe and religion, united by sapa and suffering 😂😂",20,"Abuja, Nigeria"
128,@SeunAkins_ The fear of sapa is the only motivation I need 🧘‍♂️,0,"Abuja, Nigeria"
129,Sapa is real,0,"Abuja, Nigeria"
130,@magic_sekani Am I sensing Sapa?,1,"Jos, Nigeria"
131,"@CobhamsOyibo @iamJohnwinner lol, this covid 19 shege, wey happens worldwide,  happens in Kaduna during miss world crises,  we saw shege and sapa. 🤣",0,"Abuja,  Nigeria"
132,"Sapa, nice one.",0,"Abuja, Nigeria"
133,@magic_sekani It is influenced by Sapa and shege 😂,2,"Abuja, Nigeria"
134,Sapa well done o. You sha don happy like this eh?! I don sell my phone join money pay house rent 🙂🙂 https://t.co/DORd2rU08p,0,Abuja
135,"4 media, 4 different moods. One post. 
Slide 1 - Arsenal  😍❤️
Slide 2 - Tribal war on My TL 😤
Slide 3 - Hunger  😒
Slide 4 - Sapa 😕 https://t.co/HSHOxffEuC",9,"Abuja, Nigeria"
136,"@jujupunter Oh God, I don’t need to blame you cos he that blessed @jujupunter shall surely bless me. And @jujupunter that was blessed, can also shower his grace upon me.. @jujupunter , FREE ME FROM SAPA🙏",0,"Kogi, Nigeria"
137,"@jujupunter Sapa tore my heart apart now @jujupunter , I only know say one day, some day, you go show me love",0,"Kogi, Nigeria"
138,@jujupunter Na sapa cause am boss,0,"Abuja, Nigeria"
139,Sapa nice counter attack https://t.co/LtVtpqI4CA,0,"Abuja, Nigeria"
140,@DAMIADENUGA Na Sapa ooh,0,Federal Capital Territory
141,😂😂😂😂😂😂sapa✅ https://t.co/9LjfbGHNgw,0,Abuja
142,@jujupunter sapa dey... I no dey imagine na reality b dis abeg,0,"Abuja, Nigeria"
143,@yourgirl_ajex Sapa 😂,0,"Abuja, Nigeria"
144,"@amicablu 2028307475
Kuda
God bless you
I have really been sad for weeks now cause of sapa",0,"Abuja, Nigeria"
145,Upon how I take avoid shenking last last dem later shenk me sapa why 🤧,0,"Kogi, Nigeria"
146,@lost_in_sapa Real guyy 😂😂,0,"Abuja, Nigeria"
147,@LailaAtiku Laila this life hard oo the guy is serious because en know watin be sapa mean😂😂😂,1,"Abuja, Nigeria"
148,"@bod_republic Wetin Dey happen…You wan apply? 
Chaii sapa wetin you Dey do people ehh 😂😂😂",2,"Abuja, Nigeria"
149,@lost_in_sapa @SavvyRinu 😂😂😂💔,1,"Abuja, Nigeria"
150,"@bod_republic Sapa don hold you, you don dey find free lunch😂😂",6,"Abuja, Nigeria"
151,@vladdimirpuding My guy u collect breakfast you no tell us 😂🤣,0,"Abuja, Nigeria"
152,@NkechiBlessingS Abi Aunty done chop breakfast again 😂 😂,0,Abuja
153,"I'm sure your favorite person would love to have this tray on their birthday.
Tag your favs to get you this breakfast tray.
Content:- French toast, pancakes, fruits ,bento cake, peppered chicken, bbq wings &amp; chocolates
📍Abuja https://t.co/VKpERjjnGO",0,"Abuja, Nigeria"
154,"@ymuller781 @EmpressFaustyne @GoziconC Lol. Go and eag roasted corn for breakfast. Lagos didnt vote for lagos landlord but you from one village without good roads will be here shouting, Them no know your papa.",1,Federal Capital Territory
155,Las las na everybody go chop breakfast😩💔,0,Federal Capital Territory
156,"@Odumodublvck_ She say I serve her breakfast

DECLAN CRIES",0,Abuja
157,Breakfast in bed with happy ending my God 🙈🙈,2,"Abuja, Nigeria"
158,Funny how I didn’t know what breakfast was till I broke someone’s heart 😂💀,0,"Abuja, Nigeria"
159,"Even DSF (Skibii’s ex) no wail reach  Chimaroke Nnamani. 
Enugu East people really served him hot breakfast. 

What stage of grief is he in again?",2,Abuja Nigeria 
160,I dunno why you’re trying to let us know you had one “healthy” food for breakfast. When you’ll go to church and still buy hot puffpuff after service and someone will take you to eat ice cream later. Abeg shift.,2,"Abuja, Nigeria"
161,"Starting your day with a healthy breakfast is a priority. 

What are you having for breakfast today ? https://t.co/PForDm4xRN",13,"Abuja, Nigeria"
162,@CaptSheshi @Gbengawhite_ @Kayodeoshinubi @abdoolsomtin 😂😂 the ghost or breakfast too unmatched,0,Abuja- Nigeria 
163,"@danjuma1232 Amen. Please sir, help me with any amount sir to make breakfast. It is easy with me this day",0,abuja
164,"So, it’s breakfast, lunch, then dinner and we are set🤔. One night to go💃🏻💃🏻💃🏻

Counting in seconds and we begin 🥁🥁🥁

See you at TBS Cricket oval ✌🏾#NigeriaWT20I #CricketTwitter #CricketWithIjay #IjayReports https://t.co/71spHDXVDw",6,"Abuja, Nigeria"
165,"@BasketballProfe Incase people wake up many , let me buy breakfast for 10 people , 2k each .. I’ll pick randomly from my dm .",0,"Abuja, Nigeria"
166,@creamlyeva I would have said I’m in but you will serve me breakfast,1,"Abuja, Nigeria"
167,@flowzki You don chop breakfast😂,0,"Abuja, Nigeria"
168,@_teamarh 🤣🤣 breakfast,1,"Abuja, Nigeria"
169,"she chop one wickedt breakfast after 😂
i happy dieeee!",6,"Abuja, Nigeria"
170,"If you are still eating , how's the breakfast tasting ?",5,"Abuja, Nigeria."
171,@LateefahMuhd breakfast na national cake now,0,jos Nigeria 
172,@O_ssai Hot breakfast,0,"Abuja, Nigeria"
173,"@lulufine_ You dun go market come back, Oya wait for the chef 👨‍🍳 dem to come prepare breakfast for you. They’re coming",0,"Abuja, Nigeria"
174,"@coco_002 @PariPesaNigeria @paripesa @JoladeMUFC Congratulations ma
Send funds for breakfast tomorrow",0,"Abuja, Nigeria"
175,You fit Dey fast make dem still serve you breakfast…….,0,Minna
176,@Ekitipikin Mayor I no come to ask you questions...na code for breakfast assurance carry come like this...make onions cry inside pot tomorrow 💫,0,"Abuja, Nigeria"
177,"@Naankling01 @_Thrixian Sandra don serve that Brostitute Breakfast since 1844..
Shoot your shot direct",1,"Jos, Nigeria"
178,"How do I request to be a speaker? new to this spaces thing
https://t.co/VyhFSUmmMn",0,Abuja
179,@omo_odedina Na Thier type go serve you breakfast and you no even dey relationship,0,"Abuja, Nigeria"
180,"Who be this 😂😂
You know how many times I don chop breakfast 🙄🥹 https://t.co/Gd8PzvPjSS",3,"Jos, Nigeria"
181,@PulseNigeria247 Once sex is involved trust is threatened and if not handled well breakfast is the order. Yes I can be in a sexless relationship if the goal is heaven,9,"Abuja, Nigeria"
182,🤣😂 Breakfast…,0,"Abuja, Nigeria"
183,@a_nanzip Newcastle go serve breakfast next week Sunday,1,Nigeria
184,"@vanguardngrnews If he like let him buy the entire London, but all I know is that he has been served dinner as breakfast",0,Abuja
185,I had frame 2 for breakfast,0,"Abuja, Nigeria"
186,@Edsmyt Landlord wey dey beg for breakfast 🤣🤣,2,Abuja
187,Singer Niniola Cries As She Expresses Pain To Haven Been Served Breakfast  https://t.co/ByTf3YkczG,0,Abuja - Nigeria
188,"You fit dey fast, make dem serve you breakfast🤭",24,"Abuja, Nigeria"
189,@EduOmotolani @DeeOneAyekooto @codedben10 Better breakfast ooo 😁😁🤣🤣,2,"Abuja, Nigeria"
190,@its_shaokhan 😂 after loving you expect breakfast 🥹,0,"Jos, Nigeria"
191,@its_shaokhan And then serve you breakfast 💔😂,0,"Jos, Nigeria"
192,"@instablog9ja Abeg shout up,you be good girl before?
No come use ur heartbreak abi na breakfast make other reasonable girls go wayward abeg....if e no pay u then keep it to yourself 

It pays others,besides good or bad every heartbreak has it's season",2,"Jos, Nigeria"
193,@FreakyB22301291 Everybody go chop breakfast 😂,0,"Abuja, Nigeria"
194,@yabaleftonline Na breakfast abi she wan drop project?,0,Abuja Nigeria
195,"No More Good Girl Again, They Just Serve Me Better Breakfast That Pain Me So Much – Singer Niniola Cries Out
https://t.co/puT8DkatNQ",0,"Jos, Nigeria"
196,"@realdeola It's funny to me though, breakfast you didn't serve neither did you eat. What's your own in another person's relationship",0,"Abuja, Nigeria"
197,Person wey dey fast chop breakfast kehh https://t.co/tQTsZ2kYkU,1,"Federal Capital Territory, Nig"
198,Breakfast in bed.. more like brunch in bed,1,Federal Capital Territory
199,@ShehuSani Breakfast well served,0,Abuja Nigeria
200,@chuks_nadia It’s breakfast na 😂,0,"Abuja, Nigeria"
201,"Haba @StanbicIBTC, show empathy, please. My sister was served cold breakfast in the presidential election, and then a colder one in Lagos, and you are adding to the frustration? Be careful. 😡",13,"Abuja, Nigeria"
202,Thabang so sweet brought breakfast to Khosi in Sandton #BBTitans,10,"Abuja, Nigeria"
203,Breakfast in bed. Ahan Ahn this T guy is taking care of my baby ooo 😂😂🥰🥰🥰#BBTitans,4,"Abuja, Nigeria"
204,"Smallie brought breakfast to Queen Khosi in bed

…she’s bricklaying as we speak 😜

 #BBTitans",106,"Abuja,Nigeria | Manchester, UK"
205,"It's never too late for breakfast...
(enters kitchen at 11:40am)👩‍🍳",0,"Abuja, Nigeria"
206,Fresh toast with avocado for breakfast. https://t.co/CH9KGNLEsl,35,"Abuja, Nigeria"
207,"@lx_amara Oya na find the ones wey get black flag, after all flag na flag and last last everybody go chop breakfast",0,"Abuja, Nigeria"
208,"'E pain me sha,' Singer Niniola reacts as lover serves her ‘breakfast’
https://t.co/6C2xe2FtPy",3,"Abuja, Nigeria"
209,@DamsonIdris @bustle hope say that breakfast news na lie sha.,11,"Abuja, Nigeria"
210,@Haywhy_PD @kamar2803 @Naija_PR Rectify abi you want to give me a packaged breakfast 🥲,1,Federal Capital Territory
211,@Suzy_AlmaRay I for show but you don already do me breakfast 😒,1,"Jos, Nigeria"
212,Effect of fufu for breakfast 😋,1,"Lagos, Abuja, Nigeria."
213,"@LUKEOFUK Good morning boss,happy weekend,I still never get breakfast,pls sir 0421468619, Emmanuel Cletus,GTB.",0,Abuja
214,@iammrblossom @iammrblossom breakfast,1,Abuja
215,"@dajabulani @Bode_Bankz @PIDOMNIGERIA Calling @ARISEtv LP TV is most unfortunate, it shows level of mentality. Arise TV is objective, they don't compromise standard, "" they aren't intimidated or bought, they serve breakfast anytime, anyday, you just need to be clean before appearing and u must have your facts.",2,"Abuja, Nigeria"
216,@woozzaabets Sir please buy me breakfast,0,Federal Capital Territory
217,Hello breakfast 😋 https://t.co/rpff8LmgkL,1,"Abuja, Nigeria"
218,"@Jimmy69720365 @GestomOj @martinsopara @AM_Saleeem @bod_republic Oh and brother you asking for my location. I stay in  
plot 13, Karewa Extension, karewa Jimeta LGA Adamawa state. You are welcome to come breakfast with me and my family. Masha Allah",0,Abuja Nigeria
219,@kysolive @isama_joseph @thatnatzguy @Jack_ng01 Not just u. That’s y I ve doubts about this 25% stuff. Let’s remain positive. I had to travel from Kaduna to Abuja to vote LP and INEC just served me breakfast just like that😂,0,Abuja 
220,"@Davidspredict I no get money,please buy me breakfast 🙏",0,Federal Capital Territory
221,Breakfast with Heldi. 🥰 #AbujaTwitterCommunity #abujabusiness #kilishi https://t.co/C4qySO5Lk5,3,"Abuja, Nigeria"
222,"@jhoy_gurl Jhoy girl, what did you have for breakfast?🤔",0,"Nigeria, Jos"
223,Pele oo he went to your Boy's Bed and slept there even😂 It's either Khosi serves the final breakfast or no one🤣 you celebrated too early now you're shamed😂 Khosi na everybody Mama for that house🔥 #WhatAWoman #KhosiTwala𓃵 #BBTitans,18,Abuja Nigeria
224,"Breakfast is served ❤️
Go get a spoon, Because 
Imma Generous Gee https://t.co/Umhf5DLsY1",2,"Abuja, Nigeria"
225,Akara and pap is what I want to have for breakfast,0,"Abuja, Nigeria"
226,Shey you know say you fit dey fast make dem still serve you breakfast https://t.co/QXhHRJUVeE,2,"Jos, Nigeria"
227,@AdemoyeJohn @L3galtool @asemota This was my dinner everyday when I was still working in Lagos.....ewa agoyin and bread or bread and bama as breakfast l.....Lagos life,0,Abuja
228,"Credit someone's Account for Breakfast, 1k is enough
Nothing is too small.

Givers Hi
Receivers hello.",233,"Abuja, Nigeria"
229,"@BObinrin You are advocating for breakfast,  you are fasting",0,"Abuja,  Nigeria"
230,@FreshBossTips Na disk kyne breakfast 🥞 i de like 😋,0,"Minna, Nigeria"
231,@metuchizzy Boss I removed the 2 games and staked SWICAL and I won 7k for breakfast https://t.co/4xldmxH7c4,2,"Abuja, Nigeria"
232,Breakfast😮‍💨 https://t.co/6Nb1GdUzvG,1,Federal Capital Territory
233,@_teamarh 🤣🤣🤣 she say breakfast,1,"Abuja, Nigeria"
234,AMAPIANO no concern who them give breakfast,0,"Abuja, Nigeria"
235,"@adamugarba I will get a Bucket for your tears when the time Comes, cool down relax, Breakfast will be served.",0,"Abuja, Nigeria"
236,@jada3_p @jada3_p  but at the same time love is wicked  u no 🙊 for those  on breakfast  mood,0,"Abuja, Nigeria"
237,"If you’re still eating by now , just continue o , na breakfast",15,"Abuja, Nigeria"
238,@bb_khamees You chop breakfast before breakfast 😂😂,6,"Abuja, Nigeria"
239,"@ShehuSani Millions will be willing to donate if he had looked for, rather karma took place. One by one breakfast go reach everybody",0,"Abuja, Nigeria"
240,"@SheunAdedoyin I dream say @SheunAdedoyin  send me tomorrow breakfast

8153010257
Opay 

Boss abeg 1k for food",0,"Abuja, Nigeria"
241,"@JojoNitq @ONOS_UTD Talking hours, you’ve not been to an nysc camp dorm room, no introductions just random gists, then my guy “Abeg help hold space for line for breakfast meal.",0,"FCT, Abuja"
242,@sportsmediagirl 2K can buy me breakfast and data,0,"Abuja, Nigeria"
243,@riteekazi To rest better pass  breakfast 😂,1,"Plateau, Nigeria"
244,@UGOsDYNASTY Breakfast,0,"Abuja, Nigeria"
245,"@JustchillwithCA This is breakfast, lunch and dinner for me 🤭",0,"Abuja, Nigeria"
246,"إفطاركم سعيد

Barkanmu da shan Ruwa

Bonne Rupture a vous

Happy Breakfast

Barkan da Hari Hayyan https://t.co/Zh0VLt7Vng",3,"Kano, Nigeria"
247,@The_man_tailor Breakfast loading,0,Abuja_Nigeria
248,@TomisinWhyte Juju breakfast 😂,0,"Abuja, Nigeria"
249,@Naija_PR This is not bad to breakfast today...,0,"Abuja, Nigeria"
250,@bod_republic This one use loud breakfast,2,"Minna, Nigeria"
251,"E be like say you dey cry perfect tears when you chop breakfast? 😏🌚

That was actually pidgin English, not standard English, like ""she say she no won see me again."" 😭😭😭",0,"Jos, Nigeria"
252,@Naija_PR Because of breakfast 😥,0,Federal Capital Territory
253,I'll really be shocked if I don't see Nutella on the breakfast dining table in heaven.,0,Abuja
254,@_Thrixian Sandra don serve you breakfast?,1,"Jos, Nigeria"
255,"If they like they should not develop Nigeria.

Nigeria will happen to everybody once you're a Nigerian.

Go and ask Senator Ike Ikweremadu  who has been Senator for close to 20 years.

You can't just escape the Nigeria breakfast.
#DevelopNigeriaNow",5,"Abuja, Nigeria"
256,"The Court of Appeal did not only serve Oyetola breakfast but gave him and APC a fine of N500,000 as breakfast takeaway",406,"Abuja, Nigeria"
257,@DoctorAyo_ Abeg what happened o am not watching      Did my girl serve smally breakfast or am seeing double?😂,1,Abuja Nigeria
258,@Iam_Damilare07 Something wey termites go use do breakfast,1,Jos/Abuja
259,"@burnaboy : las las na everybody go chop breakfast

Me: who just started seminary to become a priest😹😹 https://t.co/sEWwSgm8nm",0,"Abuja, Nigeria"
260,"My Analysis vs Result

I  Short ETH at the Resistance Point and I locked profit Breakfast is ready🥰🥰 https://t.co/ua4HJQ4LuI",3,Abuja Nigeria 
