,tweets,likes,location
38,"The bastard son and the devil himself is good, really good. A lot of annoying characters like Jessica and Annalise. Terrible sfx but a very solid plot",0,"Abuja, Nigeria"
39,"Let's make something very clear...Peter Obi has been consistent over time in fixing Nigeria to the best of his ability...voting him as president will only amplify his good work.

He really has nothing to lose, he'll continue his good work, but Nigerians have everything to lose.",0,"Lakke Usuma, FCT"
40,"Some of us are really good at being open, not very good at being vulnerable.
There’re some people that no matter how long you wait it’ll never be the right time to tell them how you truly feel. Everyone has that one  person they see themselves ending up with yet nothing is/might",2,Abuja 
41,"@Communiity_TWT A very good project, the team are really doing a great job. Keep it up.",0,Lagos
42,"@plateau_united All the best in the game in Tunisia, the first half game management in Abuja was a great performance but the second half some how after the Subtitution was somehow not too good. I am really very sure that with an improve performance you guys will come back in the group stage.",0,"Abuja, Nigeria, "
43,"@RandaAndrew Oh really, you used the right word - fearless. That guy was very good. I was later joined where I sat by his manager and he told me few things about him when I was fantasizing about him. He's very good

Jimmy Ambrose was slow and heavy yesterday but still did well",0,"Abuja, Nigeria"
44,"This body mist is really good 😊 It smells really rich. A very nice mist to splurge on…Price 3,000 naira.
Location: lagos                                                please kindly retweet🙏🏾 https://t.co/d5OVA1QPwu",1,Lagos Nigeria
45,"Greetings Mr @simonwchan what can you say about https://t.co/MI9Z7tTI11 and https://t.co/Mnk64IsXsr

I really want your review and I have being following your good work for very long time.

Thank you",0,"Abuja, Nigeria"
46,"@LolaTjay Very very strategic, the boy is really good",1,"Abuja/Ebonyi, Nigeria"
47,"This week has been awesome; depression was far from me😌
I ate really good in a very long time
I stayed alone without feeling less of myself or crying my sexy brown eye out🥰.

God answered my prayer. I told Him I don't wanna struggle to be happy this week https://t.co/sHsIGrO0ay",9,"Abuja, Nigeria"
48,"🗣️ Diogo Dalot: ""I think you could see the impact he [Antony] had straight away in our team. It will take time for us to adapt to each other, but I can he adapt really quickly. He is a very good kid, very open to get help and he will adapt quickly.""",0,"Abuja, Nigeria"
49,@mosa_sadeeq_ @KareemReal @aphroDIJA Not really but I have a brother who is very good,1,Jos plateau
50,"You really are a very grateful person, Ethlene.

See the rest of us, being so ungrateful &amp; asking why she's in the mines....but you saw the good in all of this - at least, she is ALIVE!

Thanks for pointing this out. 🫂 🤗 

#AMDilemma",13,Nigeria
51,"@annyjames__ 😂 I like how you're emphatic about the yes.

Eg: 
So, you've known someone for a really long time, you two are good friends but your thinking is very different, like you guys have very different psych and outlook to life. Are these two people a right fit for eachother?",0,"Abuja, Nigeria"
52,This is really a very good news! Murderer of innocent Hanifah sentenced to death by High Court of Kano state. He’s to die by hanging. This is the consequence that comes with taking human life without any lawful justification. 🙏🏽,51,"Abuja, Nigeria"
53,@iam_d_1 @Sundaysanni8 @babatundeakpala @TheRealCEOAmber I don't know the end result of the game... But she is really trying her best and she is very good jut that football now don dey turn something else,0,
54,"@TemitopeMarcus_ Very nice. 

That was a good movie. I wish I had a photographic memory like Mike. 

I think I stopped in season 5 back in those days cos season 6 and the rest were not out. Today, I don’t have the patience and zeal to go complete it. 

Great movie indeed.",0,Federal Capital Territory
55,"I think I’m a very good travel companion. Every person I’ve met during my trips always want to travel with me again. I’m always finding nice places to visit and great deals. 
People should start paying me to travel with them 😏",5,"Abuja, Nigeria"
56,great chilling having nice day with my guys the day was very nice with me and my guys new video from #flourresh #boy comedy https://t.co/1DAW9f2USW,2,"Abuja, Nigeria"
57,"My boss told me to have a nice day!! 
So I went home 🌚🌚🌚 https://t.co/p9wxJKbdBL",96,"Abuja, Nigeria"
58,@aishatulhumaer Nice hearing that from you pretty friend,0,"Abuja, Nigeria"
59,"@Marksman_x12 And oh, clean up nice too, look good, so you know how it feels. and just maybe you’ll realize not every pretty girl that looks good on Twitter sleeps around or spread her legs like your mother &amp; sisters…. ✌️",0,"Abuja, Nigeria"
60,"@Ay_Babsolat Oh nice, I’ll love to visit all 36 someday 😌

You should visit Cross River…such a calm and pretty state 🥹, you’ll love it there",0,"Abuja, Nigeria "
61,Many things you do for the strong emotions we call love which leads us astray. The series 'You' has a pretty nice exaggeration to it.,0,"Lagos, Nigeria"
62,"Just got a nice trim, I look fresher than Will Smith in his prime. I have to give two days for it marinate and sit well then I’ll take one of my 35 girlfriends on a date, proper fine dining. Can’t waste this shape up, someone’s daughter has to appreciate this pretty man. 😏",2,"Gombe, Nigeria"
63,@DuchessOfKukawa @MrAfobaje @Olufund_Bespoke @lollylarry1 @MahmoodSalisu @Ebuka Nice. I grew up in Baga. Managed a Chemist at Cross (less than 10mins drive to Kukawa). Had a very pretty Kanuri girl at Kukawa so I go there almost everyday 😅😅. Now I really have to visit you guys. And please tell the CEO ages got a brother here 😅,0,Federal Capital Territory
64,"I think and I' m very sure that Zenith Bank customers  care are the most beautiful and pretty ladies because they fair,yellow, black and tall with nice posture unlike others banks that their customers care not  pretty which I will not mention those banks.",1,"Abuja FCT , Nigeria."
65,"Age is something you can enjoy or regret. I regret getting older, but I enjoy knowing people like you🤗. 
I was pretty chuffed about all the nice wishes for my birthday. I’m going to take them as an encouragement to approach the next year of my life with optimism👌💪Luv y'all🙏🙌 https://t.co/XnTBU9rmbP",4,"Port Harcourt, Nigeria"
66,@NAFEESAT0 @Princessmufida @Ayana_bilal @Hauwah_omar1 @maryamboooth @Maryam_yhay @Miss__Sareena @Fareehert_Ahmad @Fatiwasha7 @FatiWasha4 @Adizatougab Nice pretty actor,0,
67,“She’s not pretty but she’s nice” Gaskia hafsat Tah Raina ni.,0,
68,Woahhhhh omgggggggg you’re looking super pretty . What’s up . I miss you so much . Haha you have nice br_asts . She has a boyfriend don’t say that in .,0,Nigeria
69,"I speak to myself wit love, wen I see a pretty thing I like,buy it cause pretty things make me happy, satisfy my cravings, sit at the balcony of my gorgeously decorated apartment and indulge in a very nice strain over a glass of white wine and remind myself how amazing my life is",2,"Federal Capital Territory, Nig"
70,"I love seeing pretty nice girls😍😍
Like go sis! You rock",4,"Federal Capital Territory, Nig"
71,"@AkilaJoy Extra Information; I realized that Jos girls are very beautiful. Such dark skinned,nice looking,curvy pretty faces. 

Divine",1,Nigeria
72,"Fine people with zero content, wait until they speak, and u’ll understand its not always a pretty face or nice clothes.",7,Nigeria
73,@DayoAmusa Even if have not benefit from your giveaways you still look more pretty and nice God bless the secrets behind your success,0,Nigeria
74,"@TemiOtedolaLove @TemiOtedola Is pretty to have beautiful girl 
But social status deny a lot well thank God for the gift of life my dear you look very beautiful have a very nice day",0,
75,@kendra_brown92 Pretty 😍,1,"Abuja, Nigeria"
76,"@Fashion_Hub4 God bless you, i pray i will be picked",0,"Abuja, Nigeria"
77,@miraboi 7036445130 GODWIN CHIJIOKE EKEH OPAY Thanks God bless u,0,"Abuja, Nigeria"
78,@Hanie_Hara Happy birthday ma..God bless her🙏,0,"Jos, Nigeria"
79,"@houseofneeyo Aunty please 
1224189296
Access bank
Tizhe peter
God bless you and all that concerns u Amen🙏",0,"Jos, Nigeria"
80,"WE ARE BUSY WITH PREPARATIONS FOR HANDOVER FROM OUR GOVERNMENT TO OUR GOVERNMENT.

God bless Nigeria, 
Lauretta Onochie. 
@Laurestar https://t.co/Qld0JsqXiR",1,Abuja
81,@princebasseyotu God bless you Your Excellency,0,Abuja
82,"@PeterPsquare What so ever you are bragging with today God allowed it, he can still take it away. So, stop bragging with material things. God in his infinite mercy can decide to bless that person you're mocking beyond your reach",0,Abuja
83,"@iammrblossom Boss, I've been participating in  all your giveaways but never won any

I even got angry today and deleted some of the old retweets🤦‍♀️

Abeeg notice me and bless me today.
God bless🙏",0,Abuja
84,"@PO_GrassRootM @PeterObi Happy blessed birthday 
God bless your new age",0,"Abuja, Nigeria"
85,@ahmad__Kolo @Topboychriss God bless you bro,0,Abuja Nigeria 
86,@aonanuga1956 God bless you sir. Very proud of your.,0,"Abuja, Nigeria"
87,"@iammrblossom 2028307475
Kuda
God bless u",0,"Abuja, Nigeria"
88,@MaamaKampala21 @rojamaibo God bless u my sister what ever you want will come to you in plenty,0,
89,"Happy Sunday to u all,  may God never let you go to school get a Job in a Bank and still do hook up.  Amen.... 
#SundayThoughts",0,"Abuja, Nigeria"
90,God bless the big Gun and the system.motivation 💪🏿! God bless XCAPE and BBK 🤍 https://t.co/9VpNC0LDWL,0,"Abuja, Nigeria"
91,@aaalhajiii God bless your good heart sir,0,Abuja
92,"@pickyourmoment1 I pray make them notice me today
7052246130
Opay
Thank you boss God bless👏👏👏 https://t.co/E7dSCjyztH",0,Abuja
93,May the almighty God bless you sir.,0,"Abuja, Nigeria"
94,"@DAMIADENUGA 7014477777, will be grateful for the upliftment. God bless",0,"Abuja, Nigeria"
95,"@pickyourmoment1 2117608681 uba
God bless💯🙌 https://t.co/TxXmoWWOqq",0,"Jos, Nigeria"
96,"@ruffydfire Amen, God will continue to open more doors for you, anything or project you lay your hands on shall be a success. God bless you for your continues show of passion and love for Nigeria and fellow Nigerians ✌️❤️",1,"Jos, Nigeria"
97,@AMTanimu @AreaFada1 God bless you,0,"Jos, Nigeria"
98,"@ruffydfire God bless you Rufai,ur kind are few &amp; veri rare.",2,"Abuja, Nigeria"
99,"Thank you all for worshipping with us today.
God bless you
#gracebreedng #thankyou #thanksgivingservice https://t.co/uk91p3iuJD",4,"Federal Capital Territory, Nig"
100,"@Ekitipikin Mayor, may the almighty God continue to bless you more and more in Jesus names, I know what you hv done for the street especially me, i won millions from   You last month when i was very in need of that money. Thank u 🙏 so much once again",4,"Abuja, Nigeria"
101,May God bless your hustle..... Amen 🙏,0,Abuja 
102,@BishopPOEvang God bless you sir. National assembly is not a business.,1,"Abuja, Nigeria"
103,"https://t.co/Rugqi7yzFc
New Message

Anchor of God- prayer of necessary Arrangements 

In this message, the Itinerant expantiates on those things that are anchors of our faith in Christ.

Click on the link above,Listen, share  and be blessed https://t.co/m2UIyLrpf7",1,"Abuja, Nigeria"
104,"2019 coving 19😶‍🌫😷
2020 lock down 🏘️🔐
2021 end Sars👮🏽‍♂️🔚
2022 sim black 😫😩
2023 no cash💰🙅🏼‍♂️🏧
Every year with different problem 🤣💔
God bless nigeria 🤲🏼❤️🇳🇬",0,Nigeria
105,"@ruffydfire Boss, may the almighty God bless you for what you are doing for the street and God will continue to guide you from the hands of our useless politicians.. AMEN 🙏",1,"Abuja, Nigeria"
106,@MensahEstherOmo @Auntymuse Congratulations God continue to bless your hand work,0,"Abuja, Nigeria"
107,"Billahillazi karya kake yi. 😂
I don’t regret knowing you guys on God , may Allah bless and uplift all of us inshaAllah 🤝",0,"Minna, Nigeria"
108,"@ZagazOlaMakama Bravo to our gallant troops, all enemies of Nigeria will be send to their graves;terrorism and other organized crimes against Nigeria 🇳🇬 shall be crushed.
God bless Nigeria 🇳🇬 
God bless our gallant troops.",0,"Abuja, Nigeria"
109,God bless your ears.,0,"Abuja, Nigeria"
110,@Iameniolamyde 2077849454 UBA God bless you sir,0,"Abuja, Nigeria"
111,@Tomiwaak @korllyybobo @ogundamisi Guyyyyy you’re extremely intelligent…too blessed with wisdom…May God bless u,2,"Abuja, Nigeria"
112,"@Iameniolamyde Thank u so much for your concern but am okay I hope you send it to those who really needs it for now. Thanks, God bless for the good work.",0,"Abuja, Nigeria"
113,@AustinUmezurike @officialABAT God bless you,0,"abuja, Nigeria"
114,@MrSNoockie @Mz_Tosyn @AsiwajuOladimej @Green_rebel234 @woye1 @Yeribabaa @MrAfobaje @AdaAnambra2023 @RashwalRashwal @cbngov_akin1 @martinokorowu God bless you,0,"abuja, Nigeria"
115,"Aguleri Assemble Venue: Front of Onuorah Igweze Compound. Umuawunu, Ivite Aguleri.  Departure time: 10am. 
May God bless you as you honor this invitation. (Amen).
Obinna Igweze",0,"Abuja, Nigeria"
116,"It's very sad when people who benefit from scams are the ones that tagged you lazy &amp; unserious lol.

We, do your thing dey go, God dey bless everybody",0,"Abuja, Nigeria"
117,"@deleosunmakinde Happy Birthday sir. 
Thank you for being a painstaking teacher of God's word and for all the pastordelerisation that has blessed us",0,Abuja
118,@Real_Mekz God bless Nigeria,0,"Abuja, Nigeria"
119,"@michael_belex I was so emotional about this... God!!! People love Obi... He who God have bless no man can take away his star.
@PeterObi is a legend!!!.",1,"Jos, Nigeria"
120,@ahmed_dikko may God almighty bless you and your family sir.. Ramadan Mubarak.,0,"Plateau, Nigeria"
121,@PrettieAdiela @nnekei Happy birthday to you do have a memorable day and may God bless you even more abundantly.,1,"Abuja, Nigeria"
122,@bahdmanpetus @FrankIhugba @NetNaija_ It worked thanks and God bless you,1,"nigeria,abuja"
123,@The_Only_GRCA @pastorwf_kumuyi My DADDY FOR LIFE....GOD BLESS YOU PAPA.....,0,Abuja
124,"Being mindful of God's extravagant love and benefits I daily enjoy, I say to my soul, BLESS THE LORD and always be grateful.
- Psalm 103:2",2,"Abuja, Nigeria"
125,God bless you ma. This really poke my spirit. Hallelujah,0,"Jos, Nigeria"
126,@odesanmijamal_ @Heb13_16 May God continue to bless you abundantly https://t.co/tUqVfif3Lt,0,Nasarawa
127,@ogundamisi May God bless you sir,0,Abuja
128,God bless our military,4,"Abuja, Nigeria"
129,Happy Sunday @_spiriituaL  long life I wish you my brother. God bless.,0,"Abuja, Nigeria"
130,@TEGAMAVIN GOD BLESS YOU BOSS. THE MUSIC NA MY ONLY HOPE. I NO GET ANYTHING OTHER THING.,8,"Abuja, Nigeria"
131,Thanks@Kenneth Okonkwo for all you do for the Obi-dient movement. May God continue bless you always!,0,Federal Capital Territory
132,@PO_GrassRootM @AishaYesufu God bless you ma,0,"Abuja, Nigeria"
133,@AreaFada1 God bless you for this courage to speak out.,0,"Abuja, Nigeria"
134,God bless you @mickiebrownkie. Happy birthday to you bro.,1,"Abuja, Nigeria"
135,"@Mario9jaa I wake up everyday with renewed hope and joy cos with Asiwaju presidency we are in safe hands and the future of our country is bright.
God bless Nigeria 🇳🇬 
God PMB 
God bless Asiwaju our beloved president elect and soon to be sworn in as C-I-C federal republic of Nigeria 🇳🇬.",1,"Abuja, Nigeria"
136,"@Jost_Jefa Happy birthday dear, God bless you",0,Jos Nigeria
137,"He couldn't bring himself to say Presidential candidate, it was a casual ""former governor""🤣🤣🤣🤣🤣🤣🤣🤣
Who God has blessed, no man can curse!",0,Abuja
138,"Whom God has blessed, no man can curse 😀",0,Abuja 
139,"@BasketballProfe Thanks boss,money for lunch is secured. God bless you https://t.co/zLJVC8JHu9",1,Kaduna
140,"Good morning @_spiriituaL Happy Sunday, u said I should drop my bank details two days ago I was not online then when u said I should drop it, but I dropped it immediately I came online dat morning, I pray u see this, God bless you richly sir 🙏 @_spiriituaL https://t.co/gPOHLN8QLQ",0,"Jos, Nigeria"
141,@itsSh0la @Oluomoofderby @OD_Designng HAPPY SUNDAY GOD BLESS U AND ALL U DO,0,"Jos, Nigeria"
142,@Yomi_id Happy birthday my bro! GOD bless your new age! Cheers 🥂,0,"Abuja, Nigeria"
143,"Every time I thought I took a loss, God blessed me with something better. Alhamdullilah💯",0,"Abuja, Nigeria"
144,@meggiebangz @mz_iggyjay God bless you ma,0,"Abuja, Nigeria"
145,"Prov 3:9-10
Tithe and Offering:
It is time to bless God with our substance.
For our online audience, please pay into    

RCCG Central Parish 
GT bank
0023483407

God bless you as you give.
#rccg
#rccgcp
#rccgabuja",0,Abuja
146,@Oluwafunnmi @Oluomoofderby God bless his new age,0,"Abuja, Nigeria"
147,"@_spiriituaL @AhmedTeemaa Good morning @_spiriituaL u said I should drop my bank details two days ago I was not online then when u said I should drop it, but I dropped it immediately I came online dat morning, God bless you richly 🙏 @_spiriituaL https://t.co/5kr8i0MSB8",4,"Jos, Nigeria"
148,"@_spiriituaL @officials_dc Good morning @_spiriituaL u said I should drop my bank details two days ago I was not online then when u said I should drop it, but I dropped it immediately I came online dat morning, God bless you richly 🙏 @_spiriituaL

Pls help me tag @_spiriituaL https://t.co/4tHQE2Qzvs",1,"Jos, Nigeria"
149,@JustAdaugoijele God bless u too,1,"Abuja, Nigeria"
150,"God bless you @ruffydfire, for not compromising your standard for anything",0,"Abuja, Nigeria"
151,"Read today's Sunday Sun back page column ""Global Square"" with Mr Kenneth Okonkwo. Happy Sunday and God bless.

https://t.co/JY67bWu7mR",269,Abuja Nigeria
152,@alamin_ghost I can testify to dat ☹️@Aminu_Zubair_ God will always bless u joor 🙏,2,"Abuja, Nigeria"
153,@OfficialE_Money The best prayer than giving money. Amen . May God bless you too Amen.,0,Abuja
154,"Gm fams 
Is a blessed Sunday morning
And a blessed day to start a whole new week may God bless all that concerns us",2,"Abuja, Nigeria"
155,Alhamdulilah Allah has chosen HIS EXCELLENCY ASIWAJU BOLA AHMED TINUBU has the president of the Federal Republic of Nigeria. what can they do if God as desired him? May God bless TINUBU and bless the FRN. Amin @officialABAT  @STinubu @ABATMediaCentre TWEET to 29th of may &amp; like https://t.co/TNwfSXpEYY,20,"Abuja, Nigeria"
156,"... but that's my hard-earned money.
What's the solution to this? Was the account hacked? I need immediate answers and a refund of my money please!
Thank you and Happy Sunday.

(Please🙏, kindly help me retweet if you can, God bless you!)",1,
157,"@Talented_virtua Incase you see 500 naira abeg nor vex. make I manage the remaining 1k. 

God bless the foundation. 🙏 https://t.co/lqqBnS1Aqy",1,Abuja
158,"Foodstuffs received with appreciation and gratitude
Thanks so much sir... God bless you @kizzyuzoma 
May God continue to multiply and replenish you sir🙏
Thanks for the swift delivery ma
May your business continue to flourish @FavourOkwoli2 https://t.co/CeIIOB9esf",4,"Abuja, Nigeria"
159,"We would love you to join our services online. It promises to be exciting, impactful and life changing! God Bless you as you fellowship with us! #TBCService #TBCExperience #ExcelCentre",0,"Abuja, Nigeria"
160,@PoojaMedia God bless you sir for this kind act,0,"Abuja, Nigeria"
161,"Good morning @_spiriituaL u said I should drop my bank details two days ago I was not online then when u said I should drop it, but I dropped it immediately I came online dat morning, God bless you richly 🙏 @_spiriituaL

Pls help me tag @_spiriituaL https://t.co/5Ab8FBRIN8",1,"Jos, Nigeria"
162,"@Lib_2017 Make sense... Abuja de ok bro, we bless God",0,"Abuja, Nigeria"
163,"Good morning my people, plz patronise me for your pap
Health benefits of pap
*It helps in regulate blood pressure 
*Boost energy
It reduce the risk of obesity 
Boosts the kidney health .
Location -Abuja delivery is nationwide
Pls help me retweet if you see this
God bless you https://t.co/889eFMrwnw",1,Abuja
164,@pink_girrll These one God lay hand to pay oooo and may the Almighty God bless bountiful for the help you are helping the street ooo,0,"Jos, Nigeria"
165,"Thank God for life...Happy birthday to me
Godbless @PeterObi https://t.co/ihe55mH9kU",3,"Abuja, Nigeria"
166,"💪💪💪Odogwu Nwoke oma, the man of the people, a man after God's own heart. 🤲Who God has blessed no man can curse. ❤❤❤❤Organic love at it's peak. Okwute Nigeria 🙌🙌💪💪",1,Abuja
167,"We warmly welcome you to church! Attending online for the first time? We’re glad to have you join us. We also welcome our online and international audience. Thank you for joining us. GOD bless you ❤ 
#rccg
#rccgcp
#rccgabuja
#nigeria",0,Abuja
168,"God bless you this day and always!
🌴",1,Nigeria
169,"@NursetoluX @OlujimiDigital 3152240605
DAVID YOHANNA
FIRST BANK 

GOD BLESS YOU RICHLY ♥️",0,"Abuja, Nigeria"
170,"@michael_belex ❤❤❤❤ Odogwu nwoke, the man of the people, who God has blessed no man can curse. Organic love ❤❤❤Okwute Nigeria 💪💪🙌🙌",3,Abuja
171,@d3stiny_n God bless you,0,Abuja 
172,"@michael_belex Listen to What the DJ was playing self 😂😂😂😂😂😂
Omo. God Bless H.E @PeterObi",4,"Abuja, Nigeria"
173,"@AfleadMasa God bless africa
#ThankyouCardano https://t.co/PsnNIgdBKL",3,"Abuja, Nigeria"
174,@AcedTips God bless you!🫡🙏🏾,2,"Abuja, Nigeria"
175,Happy birthday @Jost_Jefa . May God bless and grant you ur heart desires,1,JOS/NIGERIA
176,@4wardwego Congratulations sir..God bless your home 🙏,0,"Jos, Nigeria"
177,"@Oluwafunnmi @Oluomoofderby God bless each and everyone that make it possible
#HappyBirthdayOluomo",0,"Abuja, Nigeria"
178,Happy birthday to Me and all those celebrating today. May God bless and make his face shine upon Us🙏🙏 https://t.co/tErZZtIRKR,77,JOS/NIGERIA
179,@mfclothingceo @Anonofdanonofd1 God bless you @Anonofdanonofd1 abundantly and attends to all your needs,0,"Abuja, Nigeria"
180,"@PeterObiUSA Nigeria we must take back our country
To all obedient let go out on Monday for the peaceful protest 
From Abuja. 
God bless Nigeria God bless obedient family's stay bless.",0,Abuja Fct
181,@TrumpWarRoom Go check my ep the boy from ABJ 🔥🔥🔊 LINK IN BIO 🔥🔥🔥 GOD bless you as you retweet 🙏 https://t.co/TtFp4zBr5C,0,"Abuja, Nigeria"
182,"@Talented_virtua 2178729877  
ZENITH BANK 
God bless 🙌 https://t.co/tgFHQ6VCo6",0,"Abuja, Nigeria"
